station,站名,lon,lat
53768,孝义,111.75,37.15
53769,汾阳,111.78333333333333,37.25
53770,祁县,112.35,37.35
53771,文水,112.05,37.45
53772,太原,112.55,37.78333333333333
53774,清徐,112.33333333333333,37.61666666666667
53775,太谷,112.53333333333333,37.43333333333333
53776,榆次,112.76666666666667,37.68333333333333
53777,交城,112.15,37.53333333333333
53778,平遥,112.21666666666667,37.18333333333333
53780,寿阳,113.16666666666667,37.9
53782,阳泉,113.55,37.85
53783,昔阳,113.7,37.6
53786,左权,113.36666666666666,37.083333333333336
53787,榆社,112.98333333333333,37.06666666666667
53788,和顺,113.56666666666666,37.333333333333336
53852,永和,110.63333333333334,36.766666666666666
53853,隰县,110.95,36.7
53856,大宁,110.75,36.46666666666667
53859,吉县,110.68333333333334,36.1
53860,交口,111.16666666666667,36.983333333333334
53861,襄汾,111.41666666666667,35.88333333333333
53862,灵石,111.76666666666667,36.833333333333336
53863,介休,111.91666666666667,37.03333333333333
53864,浦县,111.1,36.4
53865,汾西,111.55,36.65
53866,洪洞,111.66666666666667,36.233333333333334
53868,临汾,111.5,36.06666666666667
53869,霍州,111.71666666666667,36.583333333333336
53871,武乡,112.85,36.833333333333336
53872,沁县,112.68333333333334,36.766666666666666
53873,长子,112.86666666666666,36.11666666666667
53874,古县,111.91666666666667,36.266666666666666
53875,沁源,112.35,36.516666666666666
53877,安泽,112.25,36.166666666666664
53878,黎城,113.38333333333334,36.516666666666666
53879,屯留,112.88333333333334,36.31666666666667
53880,潞城,113.23333333333333,36.333333333333336
53882,长治,113.06666666666666,36.05
53884,襄垣,113.03333333333333,36.516666666666666
53885,壶关,113.2,36.13333333333333
53888,平顺,113.43333333333334,36.2
53953,乡宁,110.85,35.96666666666667
53954,稷山,110.95,35.583333333333336
53956,万荣,110.83333333333333,35.4
53957,河津,110.71666666666667,35.61666666666667
53958,临猗,110.78333333333333,35.13333333333333
53959,运城,111.01666666666667,35.03333333333333
53961,曲沃,111.48333333333333,35.65
53962,翼城,111.7,35.733333333333334
53963,侯马,111.36666666666666,35.65
53964,新绛,111.21666666666667,35.61666666666667
53965,绛县,111.56666666666666,35.516666666666666
53966,浮山,111.83333333333333,35.983333333333334
53967,闻喜,111.2,35.333333333333336
53968,垣曲,111.8,35.166666666666664
53970,沁水,112.2,35.7
53973,高平,112.95,35.766666666666666
53975,阳城,112.4,35.483333333333334
53976,晋城,112.83333333333333,35.516666666666666
53981,陵川,113.26666666666667,35.78333333333333
57052,永济,110.45,34.88333333333333
57053,芮城,110.71666666666667,34.7
57060,夏县,111.23333333333333,35.166666666666664
57061,平陆,111.2,35.833333333333336
53567,府谷,111.08333333333333,39.03333333333333
53646,榆林,109.7,38.233333333333334
53651,神木,110.43333333333334,38.81666666666667
53658,佳县,110.48333333333333,38.03333333333333
53725,定边,107.58333333333333,37.583333333333336
53735,靖边,108.8,37.61666666666667
53738,吴旗,108.16666666666667,36.916666666666664
53740,横山,109.23333333333333,37.93333333333333
53748,子长,109.7,37.18333333333333
53750,米脂,110.16666666666667,37.766666666666666
53751,子洲,110.05,37.6
53754,绥德,110.21666666666667,37.5
